A log after Defold could not be started. The effect is a counter in the bottom left, Changed Files panel, and the project never finishing loading, requiring shutdown via Task Manager:

2026-07-23 03:52:27.811 306  [JavaFX-Launcher] WARN  javafx - Unsupported JavaFX configuration: classes were loaded from 'unnamed module @389fa4cf'
2026-07-23 03:52:29.554 2049 [Thread-4] INFO  com.defold.libs.ResourceUnpacker - deleting old unpack dirs from C:\Users\Jennifer\AppData\Local\Defold\unpack
2026-07-24 03:44:01.193 33022052 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached loaded save data in system cache.", :total 1266, :retained 106, :unretained 1160, :limit 20000}
2026-07-24 03:44:02.041 33022900 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached written save data in system cache.", :total 1268, :retained 106, :unretained 1162, :limit 20000}
2026-07-24 03:44:21.374 33042233 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached loaded save data in system cache.", :total 1268, :retained 108, :unretained 1160, :limit 20000}
2026-07-24 03:44:28.293 33049152 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached loaded save data in system cache.", :total 1269, :retained 108, :unretained 1161, :limit 20000}
2026-07-24 03:44:29.150 33050009 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached written save data in system cache.", :total 1270, :retained 108, :unretained 1162, :limit 20000}
2026-07-24 03:44:30.529 33051388 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached loaded save data in system cache.", :total 1270, :retained 110, :unretained 1160, :limit 20000}
2026-07-24 03:44:34.419 33055278 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached loaded save data in system cache.", :total 1271, :retained 110, :unretained 1161, :limit 20000}
2026-07-24 03:46:01.472 33142331 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached written save data in system cache.", :total 1305, :retained 110, :unretained 1195, :limit 20000}
2026-07-24 03:50:27.984 33408843 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached written save data in system cache.", :total 1305, :retained 110, :unretained 1195, :limit 20000}
2026-07-24 03:50:39.940 33420799 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached written save data in system cache.", :total 1303, :retained 110, :unretained 1193, :limit 20000}
2026-07-24 03:50:44.808 33425667 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached written save data in system cache.", :total 1305, :retained 110, :unretained 1195, :limit 20000}
2026-07-24 03:50:49.027 33429886 [JavaFX Application Thread] INFO  editor.defold-project - {:line 400, :message "Cached written save data in system cache.", :total 1303, :retained 110, :unretained 1193, :limit 20000}
2026-07-24 03:51:47.090 355  [JavaFX-Launcher] WARN  javafx - Unsupported JavaFX configuration: classes were loaded from 'unnamed module @389fa4cf'
2026-07-24 03:51:48.897 2162 [Thread-4] INFO  com.defold.libs.ResourceUnpacker - deleting old unpack dirs from C:\Users\Jennifer\AppData\Local\Defold\unpack
2026-07-24 03:51:48.902 2167 [Thread-4] INFO  com.defold.libs.ResourceUnpacker - Already unpacked for the editor version f735c12192bf95684e6ae1ae27c400b8170fc6d8
2026-07-24 03:51:48.903 2168 [Thread-4] INFO  com.defold.libs.ResourceUnpacker - defold.unpack.path=C:\Users\Jennifer\AppData\Local\Defold\unpack\f735c12192bf95684e6ae1ae27c400b8170fc6d8-x86_64
2026-07-24 03:51:48.924 2189 [] INFO  com.defold.libs.ResourceUnpacker - preloaded bundled native library 'gluegen_rt' from C:\Users\Jennifer\AppData\Local\Defold\unpack\f735c12192bf95684e6ae1ae27c400b8170fc6d8-x86_64\x86_64-win32\lib\gluegen_rt.dll
2026-07-24 03:51:48.925 2190 [] INFO  com.defold.libs.ResourceUnpacker - preloaded bundled native library 'jogl_desktop' from C:\Users\Jennifer\AppData\Local\Defold\unpack\f735c12192bf95684e6ae1ae27c400b8170fc6d8-x86_64\x86_64-win32\lib\jogl_desktop.dll
2026-07-24 03:51:48.927 2192 [] INFO  com.defold.libs.ResourceUnpacker - preloaded bundled native library 'mouse_capture_shared' from C:\Users\Jennifer\AppData\Local\Defold\unpack\f735c12192bf95684e6ae1ae27c400b8170fc6d8-x86_64\x86_64-win32\lib\mouse_capture_shared.dll
2026-07-24 03:51:48.972 2237 [] INFO  com.defold.libs.ResourceUnpacker - preloaded bundled native library 'nativewindow_awt' from C:\Users\Jennifer\AppData\Local\Defold\unpack\f735c12192bf95684e6ae1ae27c400b8170fc6d8-x86_64\x86_64-win32\lib\nativewindow_awt.dll
2026-07-24 03:51:48.974 2239 [] INFO  com.defold.libs.ResourceUnpacker - preloaded bundled native library 'jogl_mobile' from C:\Users\Jennifer\AppData\Local\Defold\unpack\f735c12192bf95684e6ae1ae27c400b8170fc6d8-x86_64\x86_64-win32\lib\jogl_mobile.dll
2026-07-24 03:51:48.975 2240 [] INFO  com.defold.libs.ResourceUnpacker - preloaded bundled native library 'nativewindow_win32' from C:\Users\Jennifer\AppData\Local\Defold\unpack\f735c12192bf95684e6ae1ae27c400b8170fc6d8-x86_64\x86_64-win32\lib\nativewindow_win32.dll
2026-07-24 03:51:48.976 2241 [] INFO  com.defold.libs.ResourceUnpacker - preloaded bundled native library 'newt_head' from C:\Users\Jennifer\AppData\Local\Defold\unpack\f735c12192bf95684e6ae1ae27c400b8170fc6d8-x86_64\x86_64-win32\lib\newt_head.dll
